Year,State,District,Yield_kg_per_hectare,lat,lon,mean_ndvi,total_rainfall_mm
2023,Andaman And Nicobar Islands,North And Middle Andaman,2000.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andaman And Nicobar Islands,North And Middle Andaman,2000.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Alluri Sitharama Raju,1769.2307692307693,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Alluri Sitharama Raju,3000.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Alluri Sitharama Raju,1792.4528301886792,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Anakapalli,2577.777777777778,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Anakapalli,4000.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Anakapalli,2608.695652173913,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Anantapur,3545.454545454545,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Anantapur,3333.333333333333,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Anantapur,3520.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Annamayya,3666.666666666667,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Annamayya,3333.333333333333,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Annamayya,3384.6153846153843,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Bapatla,3465.116279069768,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Bapatla,2999.9999999999995,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Bapatla,3430.1075268817203,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Chittoor,3750.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Chittoor,3857.142857142857,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Chittoor,3625.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,3531.25,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,5057.971014492754,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,4323.308270676692,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,East Godavari,4138.888888888889,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,East Godavari,5249.999999999999,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,East Godavari,4661.417322834645,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Eluru,4215.189873417721,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Eluru,5125.0,25.0,80.0,0.3534895548218531,2921.871868235457
2023,Andhra Pradesh,Eluru,4437.5,25.0,80.0,0.3534895548218531,2921.871868235457
