"State","District","Crop","Season","Area-2023-24","Production-2023-24","Yield-2023-24"
"Andaman And Nicobar Islands","Nicobars","Rice","Kharif","0.00","0.00","2266.00"
"Andaman And Nicobar Islands","Nicobars","Rice","Total","0.00","0.00","2266.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Kharif","0.00","0.00","2266.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Total","0.00","0.00","2266.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Kharif","0.00","0.00","2266.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Total","0.00","0.00","2266.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Kharif","0.05","0.10","2100.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Total","0.05","0.10","2100.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Kharif","0.00","0.00","3347.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Total","0.00","0.00","3347.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Kharif","0.00","0.00","3347.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Total","0.00","0.00","3347.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Kharif","0.05","0.10","2102.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Total","0.05","0.10","2102.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Tur","Kharif","0.00","0.00","810.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Tur","Total","0.00","0.00","810.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Rabi","0.00","0.00","270.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Total","0.00","0.00","270.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Rabi","0.00","0.00","285.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Total","0.00","0.00","285.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Pulses","Total","0.01","0.00","276.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Kharif","0.05","0.10","2102.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Rabi","0.01","0.00","276.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Total","0.05","0.10","1835.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Kharif","0.00","0.00","2168.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Total","0.00","0.00","2168.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Kharif","0.00","0.00","1401.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Total","0.00","0.00","1401.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Kharif","0.00","0.00","1401.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Total","0.00","0.00","1401.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Kharif","0.00","0.00","1950.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Total","0.00","0.00","1950.00"
"Andaman And Nicobar Islands","South Andamans","Urad","Rabi","0.00","0.00","385540.00"
"Andaman And Nicobar Islands","South Andamans","Urad","Total","0.00","0.00","385540.00"
"Andaman And Nicobar Islands","South Andamans","Moong","Rabi","0.00","0.00","105588.00"
"Andaman And Nicobar Islands","South Andamans","Moong","Total","0.00","0.00","105588.00"
"Andaman And Nicobar Islands","South Andamans","Total Pulses","Total","0.00","0.00","161579.00"
"Andaman And Nicobar Islands","South Andamans","Total Food Grains","Kharif","0.00","0.00","1950.00"
"Andaman And Nicobar Islands","South Andamans","Total Food Grains","Rabi","0.00","0.00","161579.00"
"Andaman And Nicobar Islands","South Andamans","Total Food Grains","Total","0.00","0.00","3855.00"
"Andhra Pradesh","Alluri Sitharama Raju","Rice","Kharif","0.52","0.92","1762.00"
"Andhra Pradesh","Alluri Sitharama Raju","Rice","Rabi","0.01","0.03","3180.00"
"Andhra Pradesh","Alluri Sitharama Raju","Rice","Total","0.53","0.95","1788.00"
"Andhra Pradesh","Alluri Sitharama Raju","Maize","Kharif","0.02","0.06","3438.00"
"Andhra Pradesh","Alluri Sitharama Raju","Maize","Rabi","0.00","0.04","7397.00"
"Andhra Pradesh","Alluri Sitharama Raju","Maize","Total","0.02","0.10","4331.00"
"Andhra Pradesh","Alluri Sitharama Raju","Jowar","Kharif","0.00","0.00","1416.00"
"Andhra Pradesh","Alluri Sitharama Raju","Jowar","Rabi","0.00","0.01","5370.00"
"Andhra Pradesh","Alluri Sitharama Raju","Jowar","Total","0.00","0.01","4259.00"
"Andhra Pradesh","Alluri Sitharama Raju","Bajra","Kharif","0.00","0.00","2029.00"
"Andhra Pradesh","Alluri Sitharama Raju","Bajra","Total","0.00","0.00","2029.00"
"Andhra Pradesh","Alluri Sitharama Raju","Ragi","Kharif","0.20","0.25","1269.00"
"Andhra Pradesh","Alluri Sitharama Raju","Ragi","Total","0.20","0.25","1269.00"
"Andhra Pradesh","Alluri Sitharama Raju","Small Millets","Kharif","0.02","0.01","542.00"
"Andhra Pradesh","Alluri Sitharama Raju","Small Millets","Total","0.02","0.01","542.00"
"Andhra Pradesh","Alluri Sitharama Raju","Shree Anna /Nutri Cereals","Kharif","0.22","0.27","1194.00"
"Andhra Pradesh","Alluri Sitharama Raju","Shree Anna /Nutri Cereals","Rabi","0.00","0.01","5370.00"
"Andhra Pradesh","Alluri Sitharama Raju","Shree Anna /Nutri Cereals","Total","0.23","0.28","1236.00"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Kharif","0.24","0.33","1353.00"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Rabi","0.01","0.05","6764.00"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Total","0.25","0.37","1511.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Kharif","0.76","1.24","1633.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Rabi","0.02","0.08","4682.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Total","0.78","1.32","1700.00"
"Andhra Pradesh","Alluri Sitharama Raju","Tur","Kharif","0.00","0.00","308.00"
"Andhra Pradesh","Alluri Sitharama Raju","Tur","Total","0.00","0.00","308.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Kharif","0.00","0.00","435.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Rabi","0.01","0.01","885.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Total","0.02","0.01","774.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Kharif","0.00","0.00","901.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Rabi","0.00","0.00","797.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Total","0.00","0.00","805.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Rabi","0.10","0.06","640.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Total","0.10","0.06","640.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Pulses","Total","0.13","0.08","653.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Kharif","0.77","1.25","1618.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Rabi","0.13","0.16","1189.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Total","0.90","1.41","1555.00"
"Andhra Pradesh","Anakapalli","Rice","Kharif","0.45","1.16","2589.00"
"Andhra Pradesh","Anakapalli","Rice","Rabi","0.01","0.04","2986.00"
"Andhra Pradesh","Anakapalli","Rice","Total","0.46","1.20","2601.00"
"Andhra Pradesh","Anakapalli","Maize","Kharif","0.00","0.00","4695.00"
"Andhra Pradesh","Anakapalli","Maize","Rabi","0.00","0.00","8811.00"
"Andhra Pradesh","Anakapalli","Maize","Total","0.00","0.00","6902.00"
"Andhra Pradesh","Anakapalli","Bajra","Kharif","0.01","0.01","855.00"
"Andhra Pradesh","Anakapalli","Bajra","Total","0.01","0.01","855.00"
"Andhra Pradesh","Anakapalli","Ragi","Kharif","0.00","0.00","1317.00"
"Andhra Pradesh","Anakapalli","Ragi","Total","0.00","0.00","1317.00"
"Andhra Pradesh","Anakapalli","Small Millets","Kharif","0.00","0.00","1407.00"
"Andhra Pradesh","Anakapalli","Small Millets","Total","0.00","0.00","1407.00"
"Andhra Pradesh","Anakapalli","Shree Anna /Nutri Cereals","Kharif","0.01","0.01","879.00"
"Andhra Pradesh","Anakapalli","Shree Anna /Nutri Cereals","Total","0.01","0.01","879.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Kharif","0.01","0.01","1050.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Rabi","0.00","0.00","8811.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Total","0.01","0.01","1433.00"
"Andhra Pradesh","Anakapalli","Cereals","Kharif","0.45","1.17","2565.00"
"Andhra Pradesh","Anakapalli","Cereals","Rabi","0.01","0.05","3131.00"
"Andhra Pradesh","Anakapalli","Cereals","Total","0.47","1.21","2583.00"
"Andhra Pradesh","Anakapalli","Tur","Kharif","0.00","0.00","606.00"
"Andhra Pradesh","Anakapalli","Tur","Total","0.00","0.00","606.00"
"Andhra Pradesh","Anakapalli","Gram","Rabi","0.00","0.00","1556.00"
"Andhra Pradesh","Anakapalli","Gram","Total","0.00","0.00","1556.00"
"Andhra Pradesh","Anakapalli","Urad","Kharif","0.00","0.00","1200.00"
"Andhra Pradesh","Anakapalli","Urad","Rabi","0.08","0.06","721.00"
"Andhra Pradesh","Anakapalli","Urad","Total","0.08","0.06","728.00"
"Andhra Pradesh","Anakapalli","Moong","Kharif","0.00","0.00","616.00"
"Andhra Pradesh","Anakapalli","Moong","Rabi","0.03","0.02","634.00"
"Andhra Pradesh","Anakapalli","Moong","Total","0.03","0.02","633.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Kharif","0.00","0.00","608.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Rabi","0.00","0.00","530.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Total","0.00","0.00","543.00"
"Andhra Pradesh","Anakapalli","Total Pulses","Total","0.11","0.08","700.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Kharif","0.46","1.17","2554.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Rabi","0.13","0.12","983.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Total","0.58","1.29","2215.00"
"Andhra Pradesh","Anantapur","Rice","Kharif","0.22","0.78","3577.00"
"Andhra Pradesh","Anantapur","Rice","Rabi","0.03","0.10","2956.00"
"Andhra Pradesh","Anantapur","Rice","Total","0.25","0.88","3495.00"
"Andhra Pradesh","Anantapur","Maize","Kharif","0.21","0.99","4745.00"
"Andhra Pradesh","Anantapur","Maize","Rabi","0.07","0.43","6615.00"
"Andhra Pradesh","Anantapur","Maize","Total","0.27","1.42","5191.00"
"Andhra Pradesh","Anantapur","Jowar","Kharif","0.03","0.02","573.00"
"Andhra Pradesh","Anantapur","Jowar","Rabi","0.07","0.06","836.00"
"Andhra Pradesh","Anantapur","Jowar","Total","0.09","0.07","759.00"
"Andhra Pradesh","Anantapur","Bajra","Kharif","0.03","0.02","828.00"
"Andhra Pradesh","Anantapur","Bajra","Total","0.03","0.02","828.00"
"Andhra Pradesh","Anantapur","Ragi","Kharif","0.00","0.00","1027.00"
"Andhra Pradesh","Anantapur","Ragi","Total","0.00","0.00","1027.00"
"Andhra Pradesh","Anantapur","Small Millets","Kharif","0.03","0.02","568.00"
"Andhra Pradesh","Anantapur","Small Millets","Total","0.03","0.02","568.00"
"Andhra Pradesh","Anantapur","Shree Anna /Nutri Cereals","Kharif","0.09","0.06","650.00"
"Andhra Pradesh","Anantapur","Shree Anna /Nutri Cereals","Rabi","0.07","0.06","836.00"
"Andhra Pradesh","Anantapur","Shree Anna /Nutri Cereals","Total","0.15","0.11","732.00"
